open,high,low,close,volume,symbol,timestamp_berlin,timestamp_et
598.27,599.43,598.27,599.41,161.0,SPY,2025-01-21 10:00:00+01:00,2025-01-21 04:00:00-05:00
599.55,599.58,599.44,599.44,85.0,SPY,2025-01-21 10:05:00+01:00,2025-01-21 04:05:00-05:00
599.53,599.85,599.49,599.75,99.0,SPY,2025-01-21 10:10:00+01:00,2025-01-21 04:10:00-05:00
599.42,599.59,599.42,599.58,35.0,SPY,2025-01-21 10:15:00+01:00,2025-01-21 04:15:00-05:00
599.55,599.81,599.55,599.81,12.0,SPY,2025-01-21 10:20:00+01:00,2025-01-21 04:20:00-05:00
599.55,599.75,599.55,599.75,37.0,SPY,2025-01-21 10:25:00+01:00,2025-01-21 04:25:00-05:00
599.7,600.04,599.7,599.96,50.0,SPY,2025-01-21 10:30:00+01:00,2025-01-21 04:30:00-05:00
599.98,599.98,599.88,599.88,35.0,SPY,2025-01-21 10:35:00+01:00,2025-01-21 04:35:00-05:00
599.83,599.89,599.83,599.89,5.0,SPY,2025-01-21 10:40:00+01:00,2025-01-21 04:40:00-05:00
599.84,599.84,599.84,599.84,2.0,SPY,2025-01-21 10:45:00+01:00,2025-01-21 04:45:00-05:00
599.84,599.84,599.84,599.84,0.0,SPY,2025-01-21 10:50:00+01:00,2025-01-21 04:50:00-05:00
599.92,600.28,599.92,600.28,27.0,SPY,2025-01-21 10:55:00+01:00,2025-01-21 04:55:00-05:00
600.44,600.73,600.44,600.72,81.0,SPY,2025-01-21 11:00:00+01:00,2025-01-21 05:00:00-05:00
600.7,601.0,600.7,600.88,105.0,SPY,2025-01-21 11:05:00+01:00,2025-01-21 05:05:00-05:00
600.72,600.72,600.57,600.58,10.0,SPY,2025-01-21 11:10:00+01:00,2025-01-21 05:10:00-05:00
600.55,600.55,600.46,600.46,10.0,SPY,2025-01-21 11:15:00+01:00,2025-01-21 05:15:00-05:00
600.46,600.46,600.46,600.46,0.0,SPY,2025-01-21 11:20:00+01:00,2025-01-21 05:20:00-05:00
600.69,600.69,600.69,600.69,2.0,SPY,2025-01-21 11:25:00+01:00,2025-01-21 05:25:00-05:00
600.6,600.6,600.56,600.56,68.0,SPY,2025-01-21 11:30:00+01:00,2025-01-21 05:30:00-05:00
600.57,600.66,600.45,600.45,46.0,SPY,2025-01-21 11:35:00+01:00,2025-01-21 05:35:00-05:00
600.45,600.51,600.45,600.51,22.0,SPY,2025-01-21 11:40:00+01:00,2025-01-21 05:40:00-05:00
600.36,600.39,600.36,600.39,9.0,SPY,2025-01-21 11:45:00+01:00,2025-01-21 05:45:00-05:00
600.27,600.31,600.14,600.14,74.0,SPY,2025-01-21 11:50:00+01:00,2025-01-21 05:50:00-05:00
600.19,600.19,599.9,599.9,30.0,SPY,2025-01-21 11:55:00+01:00,2025-01-21 05:55:00-05:00
599.93,599.93,599.87,599.89,8.0,SPY,2025-01-21 12:00:00+01:00,2025-01-21 06:00:00-05:00
600.03,600.03,600.03,600.03,2.0,SPY,2025-01-21 12:05:00+01:00,2025-01-21 06:05:00-05:00
600.23,600.25,600.18,600.18,218.0,SPY,2025-01-21 12:10:00+01:00,2025-01-21 06:10:00-05:00
600.16,600.16,599.75,599.75,12.0,SPY,2025-01-21 12:15:00+01:00,2025-01-21 06:15:00-05:00
599.78,599.78,599.57,599.59,41.0,SPY,2025-01-21 12:20:00+01:00,2025-01-21 06:20:00-05:00
599.74,599.74,599.51,599.51,15.0,SPY,2025-01-21 12:25:00+01:00,2025-01-21 06:25:00-05:00
599.47,599.47,599.18,599.44,100.0,SPY,2025-01-21 12:30:00+01:00,2025-01-21 06:30:00-05:00
