open,high,low,close,volume,symbol,timestamp_berlin,timestamp_et
81.2,81.2,81.06,81.2,9.0,USO,2025-01-21 10:00:00+01:00,2025-01-21 04:00:00-05:00
81.24,81.28,81.24,81.28,12.0,USO,2025-01-21 10:05:00+01:00,2025-01-21 04:05:00-05:00
81.13,81.14,81.12,81.12,4.0,USO,2025-01-21 10:10:00+01:00,2025-01-21 04:10:00-05:00
81.15,81.2,81.15,81.2,13.0,USO,2025-01-21 10:15:00+01:00,2025-01-21 04:15:00-05:00
81.2,81.2,81.2,81.2,0.0,USO,2025-01-21 10:20:00+01:00,2025-01-21 04:20:00-05:00
81.2,81.2,81.2,81.2,1.0,USO,2025-01-21 10:25:00+01:00,2025-01-21 04:25:00-05:00
81.12,81.12,81.08,81.09,30.0,USO,2025-01-21 10:30:00+01:00,2025-01-21 04:30:00-05:00
81.09,81.09,81.03,81.03,6.0,USO,2025-01-21 10:35:00+01:00,2025-01-21 04:35:00-05:00
81.03,81.08,81.03,81.08,3.0,USO,2025-01-21 10:40:00+01:00,2025-01-21 04:40:00-05:00
81.04,81.14,81.04,81.14,2.0,USO,2025-01-21 10:45:00+01:00,2025-01-21 04:45:00-05:00
81.14,81.14,81.14,81.14,0.0,USO,2025-01-21 10:50:00+01:00,2025-01-21 04:50:00-05:00
81.0,81.02,80.96,81.0,6.0,USO,2025-01-21 10:55:00+01:00,2025-01-21 04:55:00-05:00
80.95,80.95,80.85,80.85,4.0,USO,2025-01-21 11:00:00+01:00,2025-01-21 05:00:00-05:00
80.72,80.72,80.66,80.7,13.0,USO,2025-01-21 11:05:00+01:00,2025-01-21 05:05:00-05:00
80.7,80.7,80.7,80.7,0.0,USO,2025-01-21 11:10:00+01:00,2025-01-21 05:10:00-05:00
80.7,80.7,80.7,80.7,0.0,USO,2025-01-21 11:15:00+01:00,2025-01-21 05:15:00-05:00
80.82,80.82,80.82,80.82,18.0,USO,2025-01-21 11:20:00+01:00,2025-01-21 05:20:00-05:00
80.82,80.82,80.82,80.82,0.0,USO,2025-01-21 11:25:00+01:00,2025-01-21 05:25:00-05:00
80.68,80.73,80.67,80.73,110.0,USO,2025-01-21 11:30:00+01:00,2025-01-21 05:30:00-05:00
80.82,80.82,80.67,80.73,7.0,USO,2025-01-21 11:35:00+01:00,2025-01-21 05:35:00-05:00
80.69,80.71,80.69,80.71,51.0,USO,2025-01-21 11:40:00+01:00,2025-01-21 05:40:00-05:00
80.71,80.71,80.71,80.71,0.0,USO,2025-01-21 11:45:00+01:00,2025-01-21 05:45:00-05:00
80.59,80.59,80.56,80.59,19.0,USO,2025-01-21 11:50:00+01:00,2025-01-21 05:50:00-05:00
80.6,80.6,80.6,80.6,14.0,USO,2025-01-21 11:55:00+01:00,2025-01-21 05:55:00-05:00
80.53,80.53,80.5,80.52,9.0,USO,2025-01-21 12:00:00+01:00,2025-01-21 06:00:00-05:00
80.35,80.35,80.31,80.32,18.0,USO,2025-01-21 12:05:00+01:00,2025-01-21 06:05:00-05:00
80.41,80.41,80.41,80.41,1.0,USO,2025-01-21 12:10:00+01:00,2025-01-21 06:10:00-05:00
80.41,80.41,80.41,80.41,0.0,USO,2025-01-21 12:15:00+01:00,2025-01-21 06:15:00-05:00
80.45,80.46,80.45,80.46,99.0,USO,2025-01-21 12:20:00+01:00,2025-01-21 06:20:00-05:00
80.46,80.46,80.46,80.46,0.0,USO,2025-01-21 12:25:00+01:00,2025-01-21 06:25:00-05:00
80.58,80.58,80.58,80.58,1.0,USO,2025-01-21 12:30:00+01:00,2025-01-21 06:30:00-05:00
80.57,80.57,80.57,80.57,1.0,USO,2025-01-21 12:35:00+01:00,2025-01-21 06:35:00-05:00
80.22,80.22,80.22,80.22,1.0,USO,2025-01-21 12:40:00+01:00,2025-01-21 06:40:00-05:00
80.23,80.27,80.23,80.26,52.0,USO,2025-01-21 12:45:00+01:00,2025-01-21 06:45:00-05:00
80.26,80.26,80.26,80.26,0.0,USO,2025-01-21 12:50:00+01:00,2025-01-21 06:50:00-05:00
80.29,80.29,80.24,80.24,2.0,USO,2025-01-21 12:55:00+01:00,2025-01-21 06:55:00-05:00
80.28,80.4,80.23,80.36,78.0,USO,2025-01-21 13:00:00+01:00,2025-01-21 07:00:00-05:00
80.39,80.39,80.3,80.34,66.0,USO,2025-01-21 13:05:00+01:00,2025-01-21 07:05:00-05:00
80.41,80.41,80.4,80.4,43.0,USO,2025-01-21 13:10:00+01:00,2025-01-21 07:10:00-05:00
80.46,80.59,80.43,80.59,10.0,USO,2025-01-21 13:15:00+01:00,2025-01-21 07:15:00-05:00
80.55,80.62,80.55,80.57,9.0,USO,2025-01-21 13:20:00+01:00,2025-01-21 07:20:00-05:00
80.57,80.59,80.57,80.59,3.0,USO,2025-01-21 13:25:00+01:00,2025-01-21 07:25:00-05:00
80.56,80.71,80.56,80.65,58.0,USO,2025-01-21 13:30:00+01:00,2025-01-21 07:30:00-05:00
80.63,80.63,80.58,80.6,6.0,USO,2025-01-21 13:35:00+01:00,2025-01-21 07:35:00-05:00
80.56,80.64,80.53,80.53,13.0,USO,2025-01-21 13:40:00+01:00,2025-01-21 07:40:00-05:00
80.55,80.55,80.53,80.53,3.0,USO,2025-01-21 13:45:00+01:00,2025-01-21 07:45:00-05:00
80.5,80.66,80.5,80.66,6.0,USO,2025-01-21 13:50:00+01:00,2025-01-21 07:50:00-05:00
80.62,80.66,80.61,80.63,8.0,USO,2025-01-21 13:55:00+01:00,2025-01-21 07:55:00-05:00
80.35,81.61,80.3,80.63,215.0,USO,2025-01-21 14:00:00+01:00,2025-01-21 08:00:00-05:00
80.6,80.6,80.6,80.6,4.0,USO,2025-01-21 14:05:00+01:00,2025-01-21 08:05:00-05:00
80.52,80.52,80.4,80.4,31.0,USO,2025-01-21 14:10:00+01:00,2025-01-21 08:10:00-05:00
80.41,80.5,80.41,80.49,20.0,USO,2025-01-21 14:15:00+01:00,2025-01-21 08:15:00-05:00
80.53,80.53,80.44,80.45,83.0,USO,2025-01-21 14:20:00+01:00,2025-01-21 08:20:00-05:00
80.45,80.48,80.4,80.45,171.0,USO,2025-01-21 14:25:00+01:00,2025-01-21 08:25:00-05:00
80.43,80.49,80.4,80.45,74.0,USO,2025-01-21 14:30:00+01:00,2025-01-21 08:30:00-05:00
80.49,80.49,80.42,80.45,32.0,USO,2025-01-21 14:35:00+01:00,2025-01-21 08:35:00-05:00
80.44,80.45,80.3,80.33,24.0,USO,2025-01-21 14:40:00+01:00,2025-01-21 08:40:00-05:00
80.33,80.43,80.3,80.37,211.0,USO,2025-01-21 14:45:00+01:00,2025-01-21 08:45:00-05:00
80.45,80.45,80.28,80.29,18.0,USO,2025-01-21 14:50:00+01:00,2025-01-21 08:50:00-05:00
80.26,80.26,80.04,80.08,128.0,USO,2025-01-21 14:55:00+01:00,2025-01-21 08:55:00-05:00
80.1,80.33,80.06,80.29,25.0,USO,2025-01-21 15:00:00+01:00,2025-01-21 09:00:00-05:00
80.3,80.32,80.24,80.32,70.0,USO,2025-01-21 15:05:00+01:00,2025-01-21 09:05:00-05:00
80.3,80.45,80.22,80.45,11.0,USO,2025-01-21 15:10:00+01:00,2025-01-21 09:10:00-05:00
