scrape_row,archive_status_id,archive_status_url,page_url,account_name,handle,displayed_time_et,is_reblog_event,external_link_label,external_link_url,content_text,has_status_card,status_card_url,status_card_text,attachment_count
0,29140,https://trumpstruth.org/statuses/29140,https://trumpstruth.org/?sort=asc&per_page=200&removed=include&cursor=eyJzdGF0dXNfY3JlYXRlZF9hdCI6IjIwMjUtMDEtMjAgMDA6MDA6MDAiLCJfcG9pbnRzVG9OZXh0SXRlbXMiOnRydWV9,Donald J. Trump,@realDonaldTrump,"January 17, 2025, 9:00 PM",True,Original Post,https://truthsocial.com/@realDonaldTrump/113846888132979151,My NEW Official Trump Meme is HERE! It’s time to celebrate everything we stand for: WINNING! Join my very special Trump Community. GET YOUR $TRUMP NOW. Go to http:// gettrumpmemes.com/ — Have Fun!,True,https://links.truthsocial.com/link/113846888133950275,gettrumpmemes.com The Official Trump Meme | GetTrumpMemes Join the Trump Community. Own a Piece of Trump. This is History in the Making!,1
1,29202,https://trumpstruth.org/statuses/29202,https://trumpstruth.org/?sort=asc&per_page=200&removed=include&cursor=eyJzdGF0dXNfY3JlYXRlZF9hdCI6IjIwMjUtMDEtMjAgMDA6MDA6MDAiLCJfcG9pbnRzVG9OZXh0SXRlbXMiOnRydWV9,Team Trump,@TeamTrump,"January 19, 2025, 10:25 PM",True,Original Post,https://truthsocial.com/@TeamTrump/113858546187113550,"Today, President Donald J. Trump visited Arlington National Cemetery to pay his respects to generations of American heroes.",False,,,4
2,29200,https://trumpstruth.org/statuses/29200,https://trumpstruth.org/?sort=asc&per_page=200&removed=include&cursor=eyJzdGF0dXNfY3JlYXRlZF9hdCI6IjIwMjUtMDEtMjAgMDA6MDA6MDAiLCJfcG9pbnRzVG9OZXh0SXRlbXMiOnRydWV9,Team Trump,@TeamTrump,"January 19, 2025, 10:26 PM",True,Original Post,https://truthsocial.com/@TeamTrump/113858549058354859,The sacrifice of these American heroes must never be forgotten — and will never be forgotten.,False,,,4
3,29198,https://trumpstruth.org/statuses/29198,https://trumpstruth.org/?sort=asc&per_page=200&removed=include&cursor=eyJzdGF0dXNfY3JlYXRlZF9hdCI6IjIwMjUtMDEtMjAgMDA6MDA6MDAiLCJfcG9pbnRzVG9OZXh0SXRlbXMiOnRydWV9,Team Trump,@TeamTrump,"January 19, 2025, 10:29 PM",True,Original Post,https://truthsocial.com/@TeamTrump/113858562580473505,"President Trump delivers remarks during a candlelight dinner at the National Building Museum in Washington, D.C.",False,,,1
4,29203,https://trumpstruth.org/statuses/29203,https://trumpstruth.org/?sort=asc&per_page=200&removed=include&cursor=eyJzdGF0dXNfY3JlYXRlZF9hdCI6IjIwMjUtMDEtMjAgMDA6MDA6MDAiLCJfcG9pbnRzVG9OZXh0SXRlbXMiOnRydWV9,Donald J. Trump,@realDonaldTrump,"January 20, 2025, 8:17 AM",False,Original Post,https://truthsocial.com/@realDonaldTrump/113860871478605894,,False,,,1
5,29204,https://trumpstruth.org/statuses/29204,https://trumpstruth.org/?sort=asc&per_page=200&removed=include&cursor=eyJzdGF0dXNfY3JlYXRlZF9hdCI6IjIwMjUtMDEtMjAgMDA6MDA6MDAiLCJfcG9pbnRzVG9OZXh0SXRlbXMiOnRydWV9,Donald J. Trump,@realDonaldTrump,"January 21, 2025, 12:28 AM",False,Original Post,https://truthsocial.com/@realDonaldTrump/113864692804149616,"Our first day in the White House is not over yet! My Presidential Personnel Office is actively in the process of identifying and removing over a thousand Presidential Appointees from the previous Administration, who are not aligned with our vision to Make America Great Again. Let this serve as Official Notice of Dismissal for these 4 individuals, with many more, coming soon: Jose Andres from the President’s Council on Sports, Fitness and Nutrition, Mark Milley from the National Infrastructure Advisory Council, Brian Hook from the Wilson Center for Scholars, and Keisha Lance Bottoms from the President’s Export Council—YOU’RE FIRED!",False,,,0
6,29224,https://trumpstruth.org/statuses/29224,https://trumpstruth.org/?sort=asc&per_page=200&removed=include&cursor=eyJzdGF0dXNfY3JlYXRlZF9hdCI6IjIwMjUtMDEtMjAgMDA6MDA6MDAiLCJfcG9pbnRzVG9OZXh0SXRlbXMiOnRydWV9,Team Trump,@TeamTrump,"January 20, 2025, 10:04 PM",True,Original Post,https://truthsocial.com/@TeamTrump/113864127240286673,"Thanks to President Trump, American women are hereby protected from radical gender ideology 🔥",False,,,1
7,29222,https://trumpstruth.org/statuses/29222,https://trumpstruth.org/?sort=asc&per_page=200&removed=include&cursor=eyJzdGF0dXNfY3JlYXRlZF9hdCI6IjIwMjUtMDEtMjAgMDA6MDA6MDAiLCJfcG9pbnRzVG9OZXh0SXRlbXMiOnRydWV9,Team Trump,@TeamTrump,"January 20, 2025, 10:02 PM",True,Original Post,https://truthsocial.com/@TeamTrump/113864118604083125,🚨 President Trump withdraws the United States from the World Health Organization,False,,,1
8,29220,https://trumpstruth.org/statuses/29220,https://trumpstruth.org/?sort=asc&per_page=200&removed=include&cursor=eyJzdGF0dXNfY3JlYXRlZF9hdCI6IjIwMjUtMDEtMjAgMDA6MDA6MDAiLCJfcG9pbnRzVG9OZXh0SXRlbXMiOnRydWV9,Team Trump,@TeamTrump,"January 20, 2025, 10:01 PM",True,Original Post,https://truthsocial.com/@TeamTrump/113864112559510448,🚨 President Trump signs an order to ease the permitting process and other regulations in order to unleash American energy,False,,,1
9,29218,https://trumpstruth.org/statuses/29218,https://trumpstruth.org/?sort=asc&per_page=200&removed=include&cursor=eyJzdGF0dXNfY3JlYXRlZF9hdCI6IjIwMjUtMDEtMjAgMDA6MDA6MDAiLCJfcG9pbnRzVG9OZXh0SXRlbXMiOnRydWV9,Team Trump,@TeamTrump,"January 20, 2025, 9:58 PM",True,Original Post,https://truthsocial.com/@TeamTrump/113864101869504722,🚨 President Trump signs an Executive Order to hold former government officials accountable for unlawful disclosure of sensitive information,False,,,1
