weekday_et,hour_et,burst_count,mean_sentiment,median_posts_per_burst
Friday,0,10,-0.11806999999999998,1.0
Friday,1,9,0.10454444444444445,1.0
Friday,2,3,0.5318333333333333,1.0
Friday,4,2,0.8449500000000001,2.5
Friday,5,4,0.05812499999999998,1.5
Friday,6,11,0.08534545454545456,1.0
Friday,7,26,0.21921923076923078,1.0
Friday,8,26,0.30286538461538465,1.0
Friday,9,31,0.07767741935483871,2.0
Friday,10,28,0.43914642857142855,1.5
Friday,11,26,0.14578461538461537,1.5
Friday,12,28,0.3382428571428572,1.0
Friday,13,25,0.32181600000000005,1.0
Friday,14,24,0.3967958333333333,1.0
Friday,15,38,0.3377552631578947,1.0
Friday,16,28,0.5920678571428571,1.0
Friday,17,37,0.28378918918918916,1.0
Friday,18,38,0.4496236842105263,1.0
Friday,19,32,0.337265625,1.0
Friday,20,21,0.5922904761904763,1.0
Friday,21,21,0.2131095238095238,1.0
Friday,22,21,-0.003019047619047609,1.0
Friday,23,15,0.33109333333333335,1.0
Monday,0,17,0.03295294117647059,2.0
Monday,1,5,-0.09037999999999999,1.0
Monday,2,5,0.11830000000000003,1.0
Monday,3,3,0.3095333333333333,4.0
Monday,4,1,0.6124,1.0
Monday,5,5,0.0642,3.0
Monday,6,8,-0.0632,1.5
Monday,7,23,0.5464217391304348,1.0
Monday,8,25,0.346344,1.0
Monday,9,38,0.10675,1.0
Monday,10,22,0.14485,2.0
Monday,11,26,0.18537307692307692,1.0
Monday,12,23,0.07547826086956522,2.0
Monday,13,27,0.43425555555555556,1.0
Monday,14,27,0.12251481481481481,1.0
Monday,15,27,0.15331851851851852,1.0
Monday,16,32,0.389221875,1.5
Monday,17,32,0.45289375,1.0
Monday,18,34,0.31169117647058825,1.5
Monday,19,35,0.3837942857142857,1.0
Monday,20,21,0.2428238095238095,1.0
Monday,21,26,0.3358846153846154,1.0
Monday,22,17,0.2539176470588235,1.0
Monday,23,17,0.35928823529411763,1.0
Saturday,0,9,0.3717888888888889,1.0
Saturday,1,3,-0.38996666666666663,1.0
Saturday,2,1,0.0,1.0
Saturday,4,3,0.5280333333333334,1.0
Saturday,5,2,0.0,1.5
Saturday,6,4,0.18132500000000001,1.0
Saturday,7,20,0.20637499999999998,1.0
Saturday,8,17,-0.0764235294117647,1.0
Saturday,9,21,0.18734761904761904,1.0
Saturday,10,26,0.10509999999999999,1.0
Saturday,11,19,0.20479473684210525,2.0
Saturday,12,21,0.3669,1.0
Saturday,13,18,-0.020733333333333326,1.0
Saturday,14,28,0.24013928571428572,1.0
Saturday,15,33,0.2010181818181818,1.0
Saturday,16,24,0.19822916666666668,1.0
Saturday,17,23,0.27118260869565214,1.0
Saturday,18,34,0.15993529411764704,1.0
Saturday,19,17,0.3045764705882353,1.0
Saturday,20,16,0.017343749999999998,1.0
Saturday,21,19,0.41087368421052634,1.0
Saturday,22,17,0.2051,1.0
Saturday,23,12,0.027291666666666662,1.5
Sunday,0,16,0.38415625,2.0
Sunday,1,5,0.15448,1.0
Sunday,2,1,-0.9387,1.0
Sunday,5,2,0.0,4.0
Sunday,6,5,0.52866,1.0
Sunday,7,9,0.26814444444444446,1.0
Sunday,8,15,0.2995066666666667,1.0
Sunday,9,24,0.17442916666666666,2.0
Sunday,10,23,0.19772173913043478,1.0
Sunday,11,23,0.09795217391304349,1.0
Sunday,12,22,0.013772727272727275,1.0
Sunday,13,18,0.3154111111111111,1.0
Sunday,14,20,0.42119,1.0
Sunday,15,15,0.40472,2.0
Sunday,16,22,0.19131363636363635,1.0
Sunday,17,18,0.4022,1.0
Sunday,18,23,0.28674782608695654,1.0
Sunday,19,19,0.5102526315789474,1.0
Sunday,20,27,-0.25196666666666667,1.0
Sunday,21,29,0.14606206896551724,1.0
Sunday,22,23,0.1839391304347826,1.0
Sunday,23,18,-0.19731666666666667,1.0
Thursday,0,16,0.1304375,1.0
Thursday,1,3,0.15823333333333334,3.0
Thursday,2,1,0.0,1.0
Thursday,3,2,0.22725,1.0
Thursday,4,2,0.49885,1.5
Thursday,5,5,0.57412,1.0
Thursday,6,14,0.26480000000000004,2.0
Thursday,7,27,0.0710851851851852,1.0
Thursday,8,27,0.18935185185185185,1.0
Thursday,9,36,0.0007305555555555522,1.0
Thursday,10,26,0.11311923076923078,1.0
Thursday,11,33,0.35618484848484844,1.0
Thursday,12,17,0.4919764705882353,1.0
Thursday,13,29,0.38682758620689656,1.0
Thursday,14,18,0.5419611111111111,1.0
Thursday,15,27,0.2501185185185185,1.0
Thursday,16,26,0.2879576923076923,1.0
Thursday,17,28,0.5205357142857142,2.0
Thursday,18,37,0.43323783783783787,1.0
Thursday,19,35,0.5246542857142857,1.0
Thursday,20,22,0.07905000000000001,1.0
Thursday,21,22,0.23492272727272728,1.0
Thursday,22,23,0.28229565217391306,1.0
Thursday,23,22,0.2767136363636364,2.0
Tuesday,0,18,0.43276666666666663,1.0
Tuesday,1,6,-0.009116666666666681,1.0
Tuesday,2,3,0.21843333333333334,2.0
Tuesday,3,2,0.30775,2.0
Tuesday,5,7,0.09888571428571429,2.0
Tuesday,6,6,-0.12316666666666666,2.5
Tuesday,7,23,0.2381086956521739,1.0
Tuesday,8,23,0.4341347826086956,1.0
Tuesday,9,33,0.29976060606060606,1.0
Tuesday,10,33,0.0741060606060606,1.0
Tuesday,11,32,0.24048125,1.0
Tuesday,12,18,0.34137222222222224,1.0
Tuesday,13,30,0.26165333333333335,1.0
Tuesday,14,21,0.2262809523809524,1.0
Tuesday,15,24,0.449425,1.0
Tuesday,16,32,0.2301875,1.0
Tuesday,17,34,0.33892647058823533,2.0
Tuesday,18,34,0.49568529411764706,1.0
Tuesday,19,31,0.4704129032258065,1.0
Tuesday,20,30,0.28064666666666666,1.0
Tuesday,21,26,0.21896923076923078,1.0
Tuesday,22,24,0.21837083333333332,1.0
Tuesday,23,26,0.1624269230769231,2.0
Wednesday,0,14,-0.20442857142857143,1.5
Wednesday,1,6,-0.005533333333333344,1.5
Wednesday,2,1,0.6641,3.0
Wednesday,3,2,0.4757,1.5
Wednesday,4,1,0.0,2.0
Wednesday,5,6,0.4035666666666667,1.5
Wednesday,6,14,0.42895,1.5
Wednesday,7,22,0.3773136363636364,1.0
Wednesday,8,27,0.0273888888888889,1.0
Wednesday,9,35,0.11564857142857142,1.0
Wednesday,10,37,0.31074594594594596,1.0
Wednesday,11,24,0.2783541666666667,1.0
Wednesday,12,25,0.214724,1.0
Wednesday,13,34,0.3292205882352941,1.0
Wednesday,14,23,0.2187608695652174,1.0
Wednesday,15,26,0.18196153846153845,1.0
Wednesday,16,34,0.12274411764705884,1.0
Wednesday,17,23,0.5549869565217391,1.0
Wednesday,18,32,0.3018125,1.0
Wednesday,19,25,0.434092,1.0
Wednesday,20,30,0.22331,1.0
Wednesday,21,18,0.30851666666666666,1.0
Wednesday,22,16,-0.03011250000000001,1.0
Wednesday,23,19,0.23672105263157894,1.0
