burst_id,symbol,timing_regime,topic_bucket,event_day_bucket,is_weekend_event,event_ts_et,anchor_bar_ts_et,entry_ts_et,baseline_price,entry_price,shock_direction,entry_abs_return_from_baseline,entry_abs_ret_60m_slot_percentile,anchor_delay_minutes,n_posts,topic_is_ambiguous,exit_ts_et_24h,exit_price_24h,fade_debit_r_24h,follow_debit_r_24h,fade_credit_r_24h,long_straddle_raw_r_24h,long_straddle_r_24h,adverse_extension_units_24h,favorable_extension_units_24h,contained_within_0_5x_shock_24h,contained_within_1_0x_shock_24h,exit_ts_et_72h,exit_price_72h,fade_debit_r_72h,follow_debit_r_72h,fade_credit_r_72h,long_straddle_raw_r_72h,long_straddle_r_72h,adverse_extension_units_72h,favorable_extension_units_72h,contained_within_0_5x_shock_72h,contained_within_1_0x_shock_72h
4,SPY,immediate,other,weekday,False,2025-01-21 13:50:00-05:00,2025-01-21 13:50:00-05:00,2025-01-21 14:50:00-05:00,602.29,601.95,down,0.0005645121121052865,0.4153846153846154,0.0,5,False,2025-01-22 14:50:00-05:00,607.48,1.0,-1.0,0.5384615384615384,15.264705882356775,5.0,-0.0,17.058823529415736,True,True,2025-01-24 14:50:00-05:00,607.86,1.0,-1.0,0.5384615384615384,16.38235294118056,5.0,-0.0,24.94117647059396,True,True
5,SPY,immediate,other,weekday,False,2025-01-21 14:14:00-05:00,2025-01-21 14:15:00-05:00,2025-01-21 15:15:00-05:00,602.56,602.4,down,0.00026553372278270704,0.2,1.0,2,False,2025-01-22 15:15:00-05:00,607.31,1.0,-1.0,0.5384615384615384,29.687500000005908,5.0,-0.0,33.43750000000679,True,True,2025-01-24 15:15:00-05:00,607.27,1.0,-1.0,0.5384615384615384,29.437500000006086,5.0,-0.0,50.18750000000981,True,True
6,SPY,immediate,other,weekday,False,2025-01-21 14:31:00-05:00,2025-01-21 14:35:00-05:00,2025-01-21 15:35:00-05:00,602.02,602.63,up,0.00101325537357555,0.5384615384615384,4.0,1,False,2025-01-22 15:35:00-05:00,606.92,-1.0,1.0,-1.0,6.0327868852456845,5.0,8.393442622950639,0.09836065573761325,False,False,2025-01-24 15:35:00-05:00,607.03,-1.0,1.0,-1.0,6.213114754098162,5.0,12.78688524590128,0.09836065573761325,False,False
7,SPY,immediate,other,weekday,False,2025-01-21 17:37:00-05:00,2025-01-21 17:40:00-05:00,2025-01-21 18:40:00-05:00,603.7,603.45,down,0.0004141129700182544,0.36923076923076925,3.0,1,False,2025-01-22 18:40:00-05:00,606.03,1.0,-1.0,0.5384615384615384,9.319999999999709,5.0,-0.0,17.199999999999818,True,True,2025-01-24 18:40:00-05:00,607.56,1.0,-1.0,0.5384615384615384,15.4399999999996,5.0,-0.0,27.919999999999618,True,True
8,SPY,immediate,other,weekday,False,2025-01-21 18:56:00-05:00,2025-01-21 19:00:00-05:00,2025-01-22 04:00:00-05:00,603.83,605.29,up,0.0024178990775547415,0.7384615384615385,4.0,1,False,2025-01-23 04:00:00-05:00,604.93,0.24657534246577584,-0.24657534246577584,0.5384615384615384,-0.7534246575342242,-0.7534246575342242,1.6849315068494293,0.24657534246577584,False,False,2025-01-27 04:00:00-05:00,595.9,1.0,-1.0,0.5384615384615384,5.4315068493154,5.0,3.5205479452056565,6.4315068493154,False,False
9,SPY,immediate,other,weekday,False,2025-01-21 19:12:00-05:00,2025-01-21 19:15:00-05:00,2025-01-22 04:00:00-05:00,603.76,605.29,up,0.002534119517689115,0.7076923076923077,3.0,1,False,2025-01-23 04:00:00-05:00,604.93,0.23529411764707195,-0.23529411764707195,0.5384615384615384,-0.764705882352928,-0.764705882352928,1.6078431372549544,0.23529411764707195,False,False,2025-01-27 04:00:00-05:00,595.9,1.0,-1.0,0.5384615384615384,5.137254901960885,5.0,3.3594771241830577,6.137254901960885,False,False
10,SPY,immediate,other,weekday,False,2025-01-21 19:54:00-05:00,2025-01-21 19:55:00-05:00,2025-01-22 04:00:00-05:00,604.35,605.29,up,0.0015553900885247884,0.5538461538461539,1.0,1,False,2025-01-23 04:00:00-05:00,604.93,0.3829787234042939,-0.3829787234042939,0.5384615384615384,-0.6170212765957062,-0.6170212765957062,2.617021276595948,0.3829787234042939,False,False,2025-01-27 04:00:00-05:00,595.9,1.0,-1.0,0.5384615384615384,8.989361702128273,5.0,5.468085106383308,9.989361702128273,False,False
11,SPY,delayed,other,weekday,False,2025-01-22 00:39:00-05:00,2025-01-22 04:00:00-05:00,2025-01-22 05:00:00-05:00,604.36,605.27,up,0.0015057250645309495,0.8153846153846154,201.0,1,True,2025-01-23 05:00:00-05:00,605.31,-0.04395604395600552,0.04395604395600552,0.5384615384615384,-0.9560439560439945,-0.9560439560439945,2.7252747252748404,0.6593406593407074,False,False,2025-01-27 04:00:00-05:00,595.9,1.0,-1.0,0.5384615384615384,9.296703296703662,5.0,5.670329670329834,10.296703296703662,False,False
12,SPY,immediate,other,weekday,False,2025-01-22 09:32:00-05:00,2025-01-22 09:35:00-05:00,2025-01-22 10:35:00-05:00,605.8,606.89,up,0.0017992736876857318,0.4153846153846154,3.0,1,False,2025-01-23 10:35:00-05:00,606.25,0.5871559633027227,-0.5871559633027227,0.5384615384615384,-0.4128440366972773,-0.4128440366972773,0.7889908256880629,2.0366972477063876,False,True,2025-01-27 04:00:00-05:00,595.9,1.0,-1.0,0.5384615384615384,9.082568807339163,5.0,3.2477064220182204,10.082568807339163,False,False
13,SPY,immediate,other,weekday,False,2025-01-22 10:03:00-05:00,2025-01-22 10:05:00-05:00,2025-01-22 11:05:00-05:00,606.53,606.7,up,0.0002802829208778945,0.1076923076923077,2.0,1,False,2025-01-23 11:05:00-05:00,606.84,-0.8235294117642732,0.8235294117642732,0.04072398190111814,-0.1764705882357268,-0.1764705882357268,6.176470588232383,11.941176470583633,False,False,2025-01-27 04:00:00-05:00,595.9,1.0,-1.0,0.5384615384615384,62.5294117646791,5.0,21.941176470578284,63.5294117646791,False,False
