topic_bucket,symbol,timing_regime,event_count,median_ret_60m,median_abs_ret_60m,mean_abs_ret_60m_slot_percentile,median_peak_abs_ret_24h,reversion_rate_5d,median_reversion_minutes_after_first_trade,median_reversion_minutes_from_event
tariffs_trade,GLD,immediate,95,0.0004220744961485057,0.0014781774331578124,0.559555760294317,0.009100130415881758,0.6421052631578947,1485.0,1487.0
tariffs_trade,QQQ,immediate,95,-0.0004913573747477029,0.0020180194871376456,0.6006950389907766,0.01080429678572159,0.6842105263157895,2410.0,2410.0
tariffs_trade,SLV,immediate,95,0.0,0.0023809523809523725,0.4953774152234834,0.01790222630250171,0.6526315789473685,1537.5,1538.0
tariffs_trade,SPY,immediate,95,-0.00040813351796509245,0.0016038874420376548,0.6110370772698545,0.0077848674972894605,0.6736842105263158,2415.0,2415.5
tariffs_trade,UNG,immediate,95,0.0,0.004580152671755711,0.5455266081322999,0.0337674867342016,0.8105263157894737,2555.0,2555.0
tariffs_trade,USO,immediate,95,-0.000135281385281405,0.002971768202080227,0.5478845536425968,0.015155615696887725,0.631578947368421,1745.0,1747.0
tariffs_trade,GLD,delayed,38,0.0015548876650254284,0.005540163146018906,1.0,0.013149688313567942,0.5263157894736842,1442.5,2680.0
tariffs_trade,QQQ,delayed,38,0.0013943399402552847,0.004044493318416942,0.9836065573770492,0.011122883915839321,0.7368421052631579,1615.0,2783.0
tariffs_trade,SLV,delayed,38,0.005262600408026952,0.009629936979488662,1.0,0.020277107495913382,0.6842105263157895,1440.0,2741.5
tariffs_trade,SPY,delayed,38,0.00046743782207414597,0.002903471100691335,0.9836065573770492,0.009088204670534061,0.6842105263157895,1665.0,2939.5
tariffs_trade,UNG,delayed,38,-0.003164888966602608,0.012648624490729843,0.7540983606557377,0.03490920225796146,0.6052631578947368,630.0,2560.0
tariffs_trade,USO,delayed,38,-0.002021207930612834,0.007874873092712176,1.0,0.019264009857193287,0.7631578947368421,1440.0,2183.0
war_geopolitics,GLD,immediate,162,6.441423983405414e-05,0.001332795136046061,0.5183378564208975,0.008661722905076386,0.6851851851851852,1465.0,1465.0
war_geopolitics,QQQ,immediate,162,1.7260669904262116e-05,0.0015332087609912226,0.5292276412406964,0.01013780602879566,0.6666666666666666,1582.5,1583.5
war_geopolitics,SLV,immediate,162,-0.0003247282542790386,0.002979674667850374,0.5304857517994555,0.01906389684245602,0.6728395061728395,1880.0,1883.0
war_geopolitics,SPY,immediate,162,0.0001120486493025874,0.0013033429239512895,0.544824168902836,0.007697739549032245,0.6666666666666666,1460.0,1460.0
war_geopolitics,UNG,immediate,162,-0.00026881720430110834,0.003845770286533212,0.4958337830564513,0.02857604243973494,0.6604938271604939,2380.0,2383.0
war_geopolitics,USO,immediate,162,0.0,0.0034702441842748843,0.5821125543832939,0.02029600302978779,0.6481481481481481,1460.0,1461.0
war_geopolitics,GLD,delayed,107,0.0002603742880389337,0.006273181006456241,0.9028157463094588,0.01556973218797375,0.5607476635514018,1440.0,2842.5
war_geopolitics,QQQ,delayed,107,0.002354458958232497,0.0061520887728461204,0.8685073810825588,0.011357525786634737,0.7009345794392523,1615.0,3073.0
war_geopolitics,SLV,delayed,107,0.004283965728274275,0.010897994768962471,0.7556041552761072,0.027172089902717134,0.6822429906542056,1440.0,2515.0
war_geopolitics,SPY,delayed,107,0.0012470534560109492,0.004016803628512644,0.8350191361399673,0.009161599530508768,0.6355140186915887,570.0,2793.5
war_geopolitics,UNG,delayed,107,0.0014695077149156077,0.010682004930156141,0.9834609075997813,0.041189931350114506,0.45794392523364486,1650.0,3647.0
war_geopolitics,USO,delayed,107,0.004055698256049789,0.011279127416956025,0.6846637506834335,0.028973734091524372,0.7009345794392523,1805.0,2850.0
oil_gas_energy,GLD,immediate,24,-1.6440878600532116e-05,0.0009560991704063437,0.43621450578488163,0.01039089184910047,0.4583333333333333,1355.0,1359.0
oil_gas_energy,QQQ,immediate,24,-1.6025127399732497e-05,0.0010313559348025247,0.5277493852581109,0.013128606968838774,0.6666666666666666,1665.0,1668.0
oil_gas_energy,SLV,immediate,24,0.0007877101820874532,0.0015431483169972005,0.4939320033296631,0.022626571984163957,0.5833333333333334,2167.5,2168.5
oil_gas_energy,SPY,immediate,24,-0.0002319576092472131,0.0013682420137902662,0.6025128457645275,0.008119542483833397,0.6666666666666666,4185.0,4186.0
oil_gas_energy,UNG,immediate,24,-0.001988270934722536,0.005097838507810315,0.6122386648527667,0.03934829026732245,0.6666666666666666,1420.0,1423.0
oil_gas_energy,USO,immediate,24,8.409437404172104e-05,0.003890474203133154,0.5997004460603431,0.016590454309762526,0.625,1430.0,1434.0
oil_gas_energy,GLD,delayed,7,0.00324366829396161,0.004746504106656557,0.8709677419354839,0.008487430212669844,0.7142857142857143,1460.0,3565.0
oil_gas_energy,QQQ,delayed,7,0.00521838960496801,0.007267441860465018,0.9596774193548387,0.01007149193758794,0.42857142857142855,1615.0,5255.0
oil_gas_energy,SLV,delayed,7,0.003223207091055613,0.00881325026591706,0.9112903225806452,0.011548396900167068,1.0,850.0,3955.0
oil_gas_energy,SPY,delayed,7,0.0038082853427454655,0.003948652274667674,0.9193548387096774,0.00594464053501742,0.42857142857142855,1615.0,5255.0
oil_gas_energy,UNG,delayed,7,0.0017559262510973284,0.00742804085422466,0.24193548387096775,0.025622254758418617,0.8571428571428571,422.5,3550.0
oil_gas_energy,USO,delayed,7,-0.0009624639076034613,0.014733969986357454,0.9919354838709677,0.02485411713853458,0.5714285714285714,335.0,4184.0
